"model_string","metric","score","imagenet_accuracy"
"ResNet50-RotNet_selfsupervised","CRSA",0.238128720893577,48.2
"convnext_large_classification","CRSA",0.243149109916857,84.292
"ResNet50-JigSaw-Goyal19_selfsupervised","CRSA",0.256946126486895,46.58
"ResNet50-MoCoV2-BS256_selfsupervised","CRSA",0.265504085415745,66.4
"ResNet50-JigSaw-P100_selfsupervised","CRSA",0.266665973391301,48.57
"pit_b_224_classification","CRSA",0.271826037119732,82.446
"tnt_s_patch16_224_classification","CRSA",0.280892948739733,81.52
"swin_large_patch4_window7_224_classification","CRSA",0.282725557536005,86.314
"ViT-L-CLIP-CC12M_slip","CRSA",0.283097475470675,69
"ViT-L-CLIP_slip","CRSA",0.28432126603456,81
"convit_tiny_classification","CRSA",0.286469732026108,73.114
"ViT-L-SLIP-CC12M_slip","CRSA",0.286828273345008,73.7
"vit_small_patch32_224_classification","CRSA",0.288815811224477,75.986
"vit_tiny_patch16_224_classification","CRSA",0.292787235092729,75.462
"ViT-S-CLIP_slip","CRSA",0.293342267701608,59.3
"ViT-B-CLIP_slip","CRSA",0.294206679038478,66.5
"swin_base_patch4_window7_224_classification","CRSA",0.296324883667926,85.248
"convnext_base_classification","CRSA",0.298370451706448,83.838
"regnetx_064_classification","CRSA",0.303055881890433,79.066
"deit_base_patch16_224_classification","CRSA",0.309274833725458,81.996
"vit_small_patch16_224_classification","CRSA",0.310563242421843,81.396
"ViT-L/14_clip","CRSA",0.314396265461297,83.9
"crossvit_base_240_classification","CRSA",0.314788230776295,82.216
"swin_tiny_patch4_window7_224_classification","CRSA",0.315281594122935,81.374
"ViT-L-SLIP_slip","CRSA",0.315422153636622,84.2
"vit_base_patch16_224_classification","CRSA",0.318719878774665,84.528
"jx_nest_tiny_classification","CRSA",0.319318911168437,81.42
"vit_large_patch16_224_classification","CRSA",0.31970548199914,85.838
"resnet101_classification","CRSA",0.321730457432903,81.932
"squeezenet1_0_classification","CRSA",0.322723104551099,58.092
"coat_lite_tiny_classification","CRSA",0.322903124063489,77.514
"resnet18_classification","CRSA",0.324664339591631,69.744
"ResNet50-ClusterFit-16K-RotNet_selfsupervised","CRSA",0.326249469829857,53.63
"ViT-L-SimCLR_slip","CRSA",0.327152378902608,84
"ResNet50-DeepClusterV2-2x224+6x96_selfsupervised","CRSA",0.329791786118654,75.18
"convnext_base_in22k_classification","CRSA",0.329927807227396,85.824
"dino_vitb16_selfsupervised","CRSA",0.330507749181776,78.2
"RegNet-128Gf-SEER_seer","CRSA",0.330694249834873,75.96
"ViT-S-SLIP_slip","CRSA",0.331338539671069,66.4
"xception_classification","CRSA",0.332479620839789,79.05
"RegNet-64Gf-SEER-INFT_seer","CRSA",0.33250550984887,84
"visformer_small_classification","CRSA",0.334100804761502,82.106
"vit_base_r50_s16_224_in21k_classification","CRSA",0.334441067885782,84.97
"ViT-B-SLIP_slip","CRSA",0.334595198955539,72.1
"ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised","CRSA",0.337453781311998,74.92
"alexnet_classification","CRSA",0.338324954990206,56.522
"ViT-S-SimCLR_slip","CRSA",0.339453470163235,58.1
"ViT-B-SimCLR_slip","CRSA",0.341172802777631,64
"RegNet-128Gf-SEER-INFT_seer","CRSA",0.341703498281458,84.5
"vgg16_classification","CRSA",0.341786478691858,71.59
"convmixer_768_32_classification","CRSA",0.34240654411404,80.164
"gmixer_24_224_classification","CRSA",0.343638077749623,78.036
"convit_base_classification","CRSA",0.34505962631262,82.286
"RN50_clip","CRSA",0.345875571518963,73.3
"resmlp_36_224_classification","CRSA",0.346077192820591,79.768
"resnet152_classification","CRSA",0.348755843158559,82.82
"mixer_b16_224_classification","CRSA",0.348874320187685,76.612
"ViT-B/32_clip","CRSA",0.349047116977608,76.1
"ViT-B/16_clip","CRSA",0.350411378306599,80.2
"mixer_l16_224_classification","CRSA",0.350827997602639,72.054
"RegNet-64Gf-SEER_seer","CRSA",0.35123101888529,75.25
"RegNet-32Gf-SEER_seer","CRSA",0.352421395952412,74.03
"convnext_large_in22k_classification","CRSA",0.353059432157135,86.636
"RN101_clip","CRSA",0.35317309169339,75.7
"ResNet50-PIRL_selfsupervised","CRSA",0.354787522151078,64.29
"skresnext50_32x4d_classification","CRSA",0.355387632629078,80.152
"shufflenet_v2_x1_0_classification","CRSA",0.357103687443078,60.552
"mobilenet_v2_classification","CRSA",0.357820482482453,71.878
"dino_resnet50_selfsupervised","CRSA",0.358136871302894,75.3
"dla34_classification","CRSA",0.358758579261343,74.62
"resmlp_big_24_224_classification","CRSA",0.361541200186061,81.032
"ResNet50-SimCLR_selfsupervised","CRSA",0.361619689289492,68.8
"RegNet-32Gf-SEER-INFT_seer","CRSA",0.361970473708285,83.4
"xcit_nano_12_p8_224_classification","CRSA",0.363516807787596,73.91
"poolformer_s36_classification","CRSA",0.3636489765994,81.418
"resmlp_12_224_classification","CRSA",0.364914539892309,76.656
"ResNet50-BarlowTwins-BS2048_selfsupervised","CRSA",0.36704799817766,71.8
